"Auction","description_name","description_url","description_sale_info","description_BaT_Essentials_1_name","description_BaT_Essentials_2_name","description_BaT_Essentials_3_name","description_BaT_Essentials_4_name","description_BaT_Essentials_5_name","description_BaT_Essentials_6_name","description_BaT_Essentials_7_name","description_BaT_Essentials_8_name","description_BaT_Essentials_9_name","description_BaT_Essentials_10_name","description_BaT_Essentials_11_name","description_BaT_Essentials_12_name","description_BaT_Essentials_13_name","description_BaT_Essentials_14_name","description_BaT_Essentials_15_name","description_BaT_Essentials_16_name","description_BaT_Essentials_17_name","description_BaT_Essentials_18_name","description_BaT_Essentials_19_name","description_BaT_Essentials_20_name","description_BaT_Essentials_21_name","description_BaT_Essentials_22_name","description_BaT_Essentials_23_name","description_BaT_Essentials_24_name","Remove"
"","No Reserve: 5k-Mile 2000 Mercedes-Benz G500 Europa","https://bringatrailer.com/listing/2000-mercedes-benz-g500-europa-3/","Sold for $56,000 on 6/29/20","Location: Northbrook, Illinois 60062","Chassis: WDBEG4210Y7118033","5k Miles","5.0-Liter V8","Five-Speed Automatic Transmission","Full-Time 4-Wheel Drive","Three Locking Differentials","Almandine Black Metallic","Two-Tone Black and Mulberry Leather","18"" Wheels","Sunroof","Wood Trim","Heated Front/Rear Seats","Service Records","Two Keys","Classic Edition","Imported New By Europa LLC","Private Party or Dealer: Dealer","Additional Charges From This Dealer: Local State Sales Tax","","","","","","1"
"","1965 Austin-Healey 3000 BJ8 Mk III 5-Speed","https://bringatrailer.com/listing/1965-austin-healey-3000-bj8-mk-iii-19/","Sold for $32,000 on 6/29/20","Location: Brevard, North Carolina 28712","Chassis: HBJ8L28800","90k Miles Shown, TMU","2.9-Liter Inline-Six","Dual SU Carburetors","Toyota 5-Speed Manual Gearbox","Repaint in Green","Black Interior","PerTronix Ignition","Gear Reduction Starter","Aluminum Radiator","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","45k-Mile 2003 BMW 540i M Sport","https://bringatrailer.com/listing/2003-bmw-540i-76/","Bid to $12,316 on 6/29/20","Location: Mattawan, Michigan 49071","Chassis: WBADN634X3GS57485","45k Miles","4.4-Liter M62 V8","Five-Speed Steptronic Automatic Transmission","Black over Sand Beige Leather","Xenon Headlights","Sunroof","Power-Adjustable Front Sport Seats","M Sport Suspension","18"" M Parallel Wheels","Automatic Climate Control","Cruise Control","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","1"
"","1978 Porsche 928 5-Speed","https://bringatrailer.com/listing/1978-porsche-928-23/","Sold for $22,500 on 6/29/20","Location: Livermore, California 94551","Chassis: 9288200988","86k Miles Shown","4.5-Liter V8","Five-Speed Manual Transaxle","Guards Red","Black Leather","16"" Polished Phone Dials","Air Conditioning","Power Windows","Fog Lights","Blaupunkt Stereo","Timing Belt 2019","Service Records","Books and Manuals","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","1"
"","Original-Owner 2016 Ford Shelby GT350","https://bringatrailer.com/listing/2016-ford-shelby-gt350-14/","Sold for $36,500 on 6/29/20","Location: Diamond Bar, California 91765","Chassis: 1FA6P8JZ3G5522397","36k Miles","5.2-Liter Voodoo V8","Six-Speed Manual Gearbox","Torsen Limited-Slip Differential","Oxford White w/ Blue Racing Stripes","Blue Graphics","Ebony Interior","Recaro Front Seats","GT350R-Style Front Splitter & Rear Wing","Forged 19"" Project 6GR Wheels","GT350R Brembo Calipers","8"" SYNC 3 Infotainment","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","1"
"","33-Years-Owned 1974 Jaguar XKE Series III Roadster","https://bringatrailer.com/listing/1974-jaguar-xke-roadster-15/","Sold for $61,500 on 6/29/20","Location: West Bloomfield, Michigan 48323","Chassis: UE1S24039BW","25k Miles Shown, TMU","Numbers-Matching 5.3-Liter V12","3-Speed Automatic Transmission","Silver over Red Leather","Removable Hardtop","Chrome Wire Wheels","Pertronix Ignition","Air Conditioning","Passport to Service Booklet","One Owner Since 1989","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","2003 Porsche 911 Turbo X50 6-Speed","https://bringatrailer.com/listing/2003-porsche-911-turbo-66/","Sold for $52,600 on 6/29/20","Location: San Luis Obispo, California 93401","Chassis: WP0AB29983S685353","40k Miles Indicated","Twin-Turbocharged 3.6L Flat-Six","6-Speed Manual Transaxle","X50 Performance Package","Slate Gray Metallic","Natural Gray Leather","Heated Seats","Wood Gear & Handbrake Levers","Window Sticker","Service Records","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $80 Document Fee","","","","","","","","","","1"
"","1969 Chevrolet C10 Pickup","https://bringatrailer.com/listing/1969-chevrolet-c10-pickup-23/","Sold for $25,000 on 6/29/20","Location: Colorado Springs, Colorado 80921-2128","Chassis: KE149Z870561","62k Miles Shown","5.7-Liter V8","Floor-Shifted Four-Speed Manual Transmission","Stepside Bed w/Wood Floor","Suspension Lift","BFGoodrich All-Terrain Tires","Power-Assisted Front Disc Brakes","Dual Exhaust System","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","1966 Ford Mustang Coupe","https://bringatrailer.com/listing/1966-ford-mustang-183/","Bid to $14,052 on 6/29/20","Location: Taylorsville, North Carolina 28681","Chassis: 6T07C251947","84k Miles Shown, TMU","Rebuilt 302ci V8","3-Speed Automatic Transmission","Rangoon Red over Black Vinyl","Holley Carburetor on high-rise intake","14"" Styled Steel Wheels","GT-Style Trim","Shelby Sway Bars & Traction Bars","Subframe Connectors","Retro-Style Stereo w/Aux Input","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","No Reserve: 1971 Datsun 510 Wagon 5-Speed","https://bringatrailer.com/listing/1971-datsun-510-station-wagon-3/","Sold for $17,500 on 6/29/20","Location: Salem, Oregon 97304","Chassis: PL510922450","75k Miles Shown, TMU","2.0L L20 Inline-Four","Dogleg 5-Speed Manual Transmission","Dual SU Carburetors","Orange Over Black","Repainted in 2011","280ZX Wheels and Front Disc Brakes","Brochures and Service Manual","Owner's Manual","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","1"
